countryname,countrycode,continent,gdpcap,bsc_fem,bsc_mal,bsc_tot,popdens,urbpop,co2intens,forest,natresource,femparl,drinkwater,sanitation,healthexp,healthexpcap,doctors,nurses,lifexp_fem,lifexp_tot,lifexp_mal,infmort_tot,infmort_mal,infmort_fem,suicide_mal,suicide_fem,popgrowth,birthrate,deathrate,oldagedep,sexratio,totpop,tfr,contracep,hiv,internet,mobiles,gini,top10p,povrat,povgap215,povgap685,povgap365,hom_tot,hom_fem,hom_mal,armyexp,ptemp_fem,ptemp_mal,ptemp_tot,femmanage,emprat_fem,emprat_mal,emprat_tot,emp_serv,emp_indu,emp_agri,lfp_fem,lfp_mal,unemploy
"Congo, Dem. Rep.",COD,Africa,512.5863,,,,38.283482,45.046001,.072154842,56.133129,13.773919,10,18.427513,13.151335,3.5362608,40.613739,,,62.233002,60.681,59.146999,65.5,71.300003,59.299999,10.6,2.8,3.1870863,40.639,9.2919998,5.9176955,1.03,86790568,5.8189998,,.80000001,.013711167,42.773323,,,,,,,,,,.70805901,,,,,60.207001,65.882004,63.014,25.860001,9.8400002,64.300003,61.860001,66.309998,4.4510002
"Congo, Rep.",COG,Africa,1793.0281,,,,15.755502,67.373001,.75253481,64.307465,45.976582,11.258278,45.716469,,2.0833108,81.691925,,,66.023003,64.57,63.082001,35.900002,39.400002,32.299999,9.5,3.5,2.5628264,32.396999,6.612,4.8822255,1.03,5380504,4.3740001,,3.7,,91.905823,,,,,,,,,,2.7482965,,,,,52.275002,55.451,53.849998,44.990002,21.469999,33.529999,68.580002,72.089996,20.622
Costa Rica,CRI,South America,12755.168,,,,98.855484,80.075996,.1279851,59.116726,.75601333,45.614037,80.520683,30.333223,7.2739325,1636.1824,,,82.892998,80.278999,77.738998,7.1999998,7.5999999,6.6999998,14.1,2,.957865,13.689,5.152,14.310983,1.05,5047561,1.737,,.40000001,17.924181,169.39355,48.200001,36.700001,20.715601,.40000001,4.3000002,1.1,11.153902,1.9009736,20.415937,0,37.98,19.459999,26.719999,42.799999,42.910999,67.558998,55.151001,69.220001,18.799999,11.97,58.299999,83.940002,11.49
Cote d'Ivoire,CIV,Africa,2327.7454,,,,80.869667,51.238998,.18091735,9.2754717,3.3159463,10.980392,35.139221,,3.2986295,179.55179,.16230001,.65560001,59.118999,57.783001,56.592999,59.400002,66.199997,52.299999,14.9,2.8,2.549387,35.464001,9.8690004,5.1849942,1.03,25716554,4.5929999,,2.2,.84273767,145.3407,,,,,,,,,,1.2274808,37.950001,24.190001,30.030001,,44.516998,63.43,54.087002,46.990002,12.86,40.150002,45.509998,63.450001,3.3180001
Croatia,HRV,Europe,14068.045,,,,72.640503,57.242001,.28886089,34.604568,.65671808,20.5298,,69.089653,6.9786177,2167.8142,,,81.599998,78.424393,75.400002,3.9000001,4.3000002,3.5999999,25.299999,8.1000004,-.55414677,8.8999996,12.7,32.302395,1.0599999,4065253,1.47,,.1,27.958548,106.64232,28.9,22.200001,23.299999,.2,.69999999,.30000001,.79897362,.65411878,.95476669,1.6488675,29.610001,23.110001,26.09,24.299999,41.959999,54.049,47.716999,66.139999,27.67,6.1900001,61.959999,72.010002,6.6199999
Cuba,CUB,North America,8031.0356,,,,109.18578,77.109001,.28466392,31.233141,.85662591,53.223141,,36.751347,11.340205,2599.4932,,,80.778999,78.802002,76.839996,4.1999998,4.5999999,3.7,23,6,-.041126288,9.9619999,9.1459999,22.758217,1.057,11333484,1.602,67.900002,.5,1.6123198,53.316612,,,,,,,,,,,,,,,41.387001,69.392998,55.202,65.489998,17.110001,17.4,50.540001,77.959999,1.735
Curacao,CUW,South America,17796.699,,,,354.59683,89.098,,.15765765,0,,,,,,,,,,,,,,,,-1.1964395,10.1,8.8000002,26.685951,1.05,157441,1.6,,,32.612713,112.73497,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,Europe,28211.064,,,,129.71581,66.805,.2889778,18.674242,.0036398286,17.857143,99.76519,77.079948,7.0090322,3017.2666,,,83.031998,80.982002,78.920998,2.3,2.5,2.0999999,6,1.3,.779957,10.24,7.099,20.287897,1.0700001,1198574,1.321,,.1,36.775337,139.99448,31.200001,25.5,22.299999,.2,.2,.2,1.2514871,1.6686774,.83431089,1.6094668,35.709999,26.91,31.040001,23.700001,52.713001,64.375,58.508999,79.160004,18.440001,2.4100001,70.209999,79.370003,7.0700002
Czech Republic,CZE,Europe,20202.152,20.94668,20.87302,20.9109,138.22681,73.920998,.44662502,34.651417,.4004873,22.5,97.88205,84.716644,7.8347073,3477.0259,4.1156998,,82.199997,79.229271,76.400002,2.4000001,2.7,2.0999999,19.799999,4.8000002,.39378887,10.5,10.5,30.710117,1.058,10671870,1.71,,,34.984947,122.56622,25.299999,21.5,12.5,0,.1,0,.90745687,.71841925,1.10253,1.1608776,34.900002,23.16,28.370001,26.6,51.348,67.363998,59.166,60.09,37.25,2.6600001,69.949997,83.540001,2.01
Denmark,DNK,Europe,57553.133,,,,145.36055,87.994003,.088752575,15.6875,.48717445,39.106144,96.732063,91.889206,9.9558306,6015.4609,,,83.5,81.451218,79.5,3.2,3.5,2.9000001,14.9,6.5,.3581309,10.5,9.3000002,31.375237,1.056,5814422,1.7,,.1,43.945988,125.49585,27.700001,23.5,16.5,.2,.30000001,.2,1.1434755,.93032712,1.3590404,1.3014549,54.970001,34.900002,44.299999,26.6,54.932999,63.650002,59.238998,79.230003,18.549999,2.22,76.040001,81.93,5.02
